Device name,Asset risk score,Device type,Device category,Operating system,IP address,Endpoint group,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
LAP-MKTG-004,72,Desktop,IT,Windows 11 10.0 (Build 22631),"169.254.169.114|169.254.129.209|169.254.10.206|10.3.6.72|169.254.180.78",,Système,11,"Trend Vision One Endpoint Sensor|Trend Vision One Agent",2023-01-12 17:56:43,2024-05-07 13:06:27
LAP-401-002,72,Desktop,unknown,Windows 11 10.0 (Build 22631),"169.254.187.246|169.254.72.198|169.254.99.243|10.2.101.12|169.254.37.17",,SERVICE RÉSEAU,32,"Trend Vision One Endpoint Sensor|Trend Vision One Agent",2023-05-17 21:32:28,2024-05-07 12:28:32
SVI-12R2-APEXON,69,Server,IT,Windows Server 2012 R2 6.3 (Build 9600),10.4.1.205,,Système,0,Apex One as a Service,2024-05-05 13:17:35,2024-05-07 02:11:50
MacBook-Air-de-mac-dg,66,Desktop,unknown,Mac OS 12.1.0,10.3.6.10,,,0,"Trend Vision One Endpoint Sensor|Apex One as a Service|Trend Vision One Agent",2022-06-13 06:02:30,2024-05-07 11:12:04
SRV-BI-WEB,63,Server,IT,Windows Server 2008 R2 6.1 (Build 7601),10.4.1.225,,,0,"Trend Vision One Endpoint Sensor|Trend Vision One Agent",2023-01-11 11:57:24,2024-05-07 13:06:27
svi-19DC-infepm,58,Server,IT,Microsoft Windows Server 2019 (64 bit) build 17763 10.0.17763,10.4.1.11,,Système,15,Endpoint & Workload Security,2021-09-06 06:57:23,2024-05-07 13:06:27
svi-12r2-gsmme,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.3.0.28,,Système,31,Endpoint & Workload Security,2023-01-12 15:21:53,2024-05-07 13:06:27
svi-12r2-iis.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.4.1.206,,"SERVICE RÉSEAU
AUTORITE NT",35,Endpoint & Workload Security,2021-10-04 19:41:18,2024-05-07 13:06:27
srv-data.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.3.0.201,,Système,31,"Trend Vision One Endpoint Sensor|Endpoint & Workload Security",2021-09-28 08:10:54,2024-05-07 13:06:27
SVI-12R2-CBS-WEB.louispion.fr,57,Server,IT,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.4.1.218,,"SERVICE RÉSEAU
AUTORITE NT",32,Endpoint & Workload Security,2021-09-17 04:50:26,2024-05-07 13:06:27
